                                    Province Pop.Inf Pop.sen Unipers Divorzi Vedovi Laurea Notitolo T.attiv T.disoc. Mov.nat Mov.mig Natalit. Fecondi1 Dopo.82 xbagni Impianto  TV.. Parco Lusso.Imm Add.H Add.J Imp.cont Cont.res Add.Ul x0add.Add   V68 Artigiane Imprendi 
                        "Novellara"     "RE"    6.81    9.20    17.4    1.95   8.34   1.01    14.89    46.7      4.6   63.75  137.57     7.57     3.60    6.75  27.50    84.44 29.68 57.22     10.59  0.86  0.57    17894    63.88   31.4     49.62  4.85     51.75     5.59
                         "Poviglio"     "RE"    7.72   10.30    17.8    1.26  10.46   3.09    12.59    45.8      5.6   53.67  132.73     7.30     3.70    8.22  30.75    80.87 28.45 56.01     12.11  0.85  0.47    17666    58.97   32.7     46.41 13.24     45.91     5.96
                 "Quattro Castella"     "RE"    7.84    7.10    16.9    1.91   7.55   2.93    11.78    48.9      4.6   83.86  180.50     8.37     3.71   16.44  29.97    90.03 27.13 60.01     16.37  1.57  0.42    19350    61.71   32.7     47.76 19.33     47.05     8.38
                         "Ramiseto"     "RE"    6.94   13.95    31.0    1.97  12.42   0.16    16.79    36.2     10.0   26.32  111.61     5.31     3.43    7.05  11.92    43.26 27.52 47.90      6.67  3.12  0.25    14982    48.54   21.7     13.20  0.00     41.18     6.28
                         "Reggiolo"     "RE"    9.50    7.71    15.4    1.61   7.52   2.37    15.40    48.2      5.5   73.91  130.26     8.47     3.75   17.75  34.65    87.95 27.09 52.89     12.11  1.23  0.60    18363    59.18   46.4     57.68 25.15     52.82     3.74
               "Reggio nell'Emilia"     "RE"    7.50    9.05    24.8    2.50   9.45   7.13     9.51    46.1      6.0   76.68  172.11     8.40     4.03   10.63  23.03    88.65 31.25 64.28     23.12  1.45  2.23    22450    62.48   49.6     62.09 35.90     32.38     6.96
                     "Rio Saliceto"     "RE"    8.42    7.70    12.9    1.66   7.36   1.90    14.22    50.1      4.8  117.76  163.03     9.66     4.29   10.13  26.33    87.27 26.86 52.03     10.80  0.85  0.32    17993    61.85   41.2     43.07  0.00     49.43     6.94
                             "Rolo"     "RE"    7.65    9.08    20.6    1.43  10.30   2.50    13.21    46.4      5.7   68.22  131.22     7.24     3.55    7.55  30.43    85.06 31.82 49.82     11.20  0.57  0.48    17516    64.55   31.8     41.50  0.00     50.72     6.68
                          "Rubiera"     "RE"    7.05    7.70    16.3    1.77   8.26   2.81    10.34    49.7      4.3   90.18  115.82     8.56     3.93   13.27  25.08    90.90 30.36 59.27     15.22  1.50  0.69    20848    65.15   47.9     59.86 24.88     40.81     5.93
               "San Martino in Rio"     "RE"    7.78    8.45    16.0    1.40   8.45   3.53    12.90    51.1      3.7  105.44  167.50     9.55     4.53   12.69  32.97    86.66 29.96 56.14     14.51  0.67  0.52    18456    64.64   50.9     60.27 30.22     52.86     6.10
                  "San Polo d'Enza"     "RE"    7.68   10.59    21.6    2.27  10.69   2.68    12.59    45.5      4.8   60.98  128.81     7.02     3.55    8.86  25.40    83.41 29.03 57.40     12.94  1.14  0.69    17378    61.71   32.7     39.90  4.50     42.73     6.81
               "Sant'Ilario d'Enza"     "RE"    8.12    7.88    18.3    1.91   9.03   3.15    11.77    46.2      5.3   83.51  140.91     8.77     4.10    9.47  24.89    84.54 29.92 57.67     12.54  1.26  0.93    19367    62.47   44.9     58.16 32.15     39.52     5.53
                        "Scandiano"     "RE"    8.49    6.55    14.9    2.13   7.42   1.73    12.73    47.2      4.9   95.24  132.23     8.22     3.60    7.09  24.27    91.54 29.04 61.48     12.40  1.08  0.57    19298    62.60   34.7     49.83 22.85     48.19     6.42
                            "Toano"     "RE"    8.66    9.21    27.1    1.24   8.76   1.47    16.64    44.3      5.9   67.81  143.42     8.33     4.46    7.62  16.48    74.79 27.89 53.41      8.38  1.11  0.56    16083    53.05   22.9     31.35  6.49     52.20     5.34
                            "Vetto"     "RE"    6.41   12.67    29.5    2.14  11.63   2.03    20.14    41.4      6.2   47.78  128.87     6.80     4.13    6.98  13.88    49.59 29.09 50.36      7.36  1.66  0.14    15134    57.43   24.2     32.22 19.84     37.88     4.11
             "Vezzano sul Crostolo"     "RE"    6.38    9.29    23.4    1.99   9.74   1.82    13.40    46.2      5.9   63.39  144.62     7.02     3.43    5.88  19.94    76.08 26.77 55.45      9.45  1.10  0.33    16736    64.95   27.6     35.41  5.92     52.03     3.62
                            "Viano"     "RE"    8.95    7.60    20.8    1.87   7.87   1.76    14.81    47.9      7.0   97.44  171.08     9.49     4.77    9.14  24.03    75.46 24.16 59.59     13.73  1.80  0.49    17453    60.04   39.6     50.19 18.81     43.01     5.80
                    "Villa Minozzo"     "RE"    7.01   12.90    29.0    1.50  10.88   1.54    14.54    36.3      9.6   38.83  124.66     5.99     3.65    6.52  15.54    55.10 29.90 50.97      8.66  1.77  0.39    13987    58.65   17.9     19.23  0.00     34.08     5.12
